;Date;Country;Population;Site;Depth (m);Individual;Fertile;Frond Mass (kg);Primary Length (cm);Primary Width (cm);Frond Length (cm);Stipe Mass (kg);Stipe Length (cm);Stipe Circumference (cm);Tufts;Epiphyte Length;Total Length (cm)
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;2;Y;2.1;23;11;150;0.75;78;21;4;1;251
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;3;Y;2.4;22;6;128;0.35;76;11;3;1;226
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;4;Y;0.7;17;13;88;0.85;96;17;2;1;201
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;5;Y;1.7;16;6;142;0.4;104;11;2;1;262
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;6;Y;0.8;14;7;101;0.45;90;14;2;1;205
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;7;Y;1;18;4;125;0.45;115;10;2;1;258
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;8;Y;3.25;18;9;116;0.85;121;19;4;1;255
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;9;Y;1.25;12;7;130;0.6;104;22;2;1;246
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;10;Y;1.35;21;8;100;0.9;121;17;3;1;242
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;11;Y;2.15;11;9;140;0.8;103;22;3;1;254
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;12;Y;0.8;12;6;104;0.5;89;15;3;1;205
JS;2018/07/15;South Africa;Shallow;Soetwater;1.0;13;Y;1.2;21;8;84;0.5;81;10;3;1;186
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;1;Y;1.65;26;7;129;0.25;74;13;3;1;229
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;2;Y;0.55;17;13;70;0.95;136;21;3;1;223
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;3;N;0.4;18;6;56;0.55;108;16;3;1;182
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;4;Y;2;17;7;164;0.6;108;19;3;1;289
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;5;Y;0.55;14;4;107;0.65;141;12;2;1;262
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;6;Y;3.1;14;9;203;0.75;109;20;2;1;326
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;7;Y;2.3;20;12;153;1.25;128;12;3;1;301
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;8;Y;0.95;18;4;121;0.55;130;12;2;1;269
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;9;Y;0.65;17;5;103;0.4;110;13;2;1;230
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;10;Y;1.2;16;21;98;0.65;52;23;3;1;166
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;11;Y;2.35;20;12;88;0.5;66;18;3;1;174
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;12;Y;0.6;29;12;133;2.4;226;25;4;1;388
JS;2018/07/15;South Africa;Shallow;Kommetjie;1.0;13;Y;1.95;14;5;111;0.55;101;14;3;1;226
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;1;Y;0.8;14;8;110;0.7;100;14;3;0;114
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;2;Y;0.5;11;7;80;0.4;72;14;3;0;83
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;3;Y;1.3;15;6;81;0.1;21;9;3;0;36
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;4;Y;1.1;9;4;92;0.1;16;10;3;0;25
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;5;N;0.6;10;8;66;0.4;16;56;4;0;26
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;6;Y;0.2;14;5;63;0.3;48;8;3;0;62
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;7;Y;1.3;17;9;80;0.6;87;19;4;0;104
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;8;N;1.7;17;9;66;0.6;94.2;16;4;0;111.2
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;9;Y;0.6;12;9.5;97;0.6;65;19;3;0;77
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;10;N;0.7;20;10;68;0.5;61;19;4;0;81
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;11;N;0.6;12;5;69;0.3;92;9.5;4;0;104
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;12;Y;0.4;27;5;89;0.3;75;8;6;0;102
JS;2018/08/22;South Africa;Shallow;A-Frame;1.0;13;Y;0.6;14.5;5.5;84;0.3;75;10.5;5;0;89.5
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;1;N;1.4;17;6;100;0.7;78;18;4;0;95
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;2;N;1.4;15;7;85;0.7;86;14;4;0;101
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;3;N;0.5;11;8;48;0.3;47;17;3;0;58
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;4;N;0.4;11;8;53;0.5;98;17;1;0;109
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;5;N;0.4;13;7;28;0.8;41;13;3;0;54
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;6;N;0.3;13;7;35;0.7;82;16.5;3;0;95
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;7;Y;1.6;11;12;64;0.6;88;22;3;0;99
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;8;N;0.5;13;6;97;0.5;69;13;3;0;82
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;9;Y;0.3;18;6.5;120;1.2;58;15;4;0;76
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;10;N;0.9;16.5;5.5;76;0.1;71;13;6;0;87.5
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;11;N;0.3;15;7;46;0.3;48;13;4;0;63
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;12;N;0.4;15;9;42;0.4;45;20;3;0;60
JS;2018/11/05;South Africa;Shallow;Hout Bay;1.0;13;N;0.3;10;8;42;0.2;24;12;3;0;34
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;1;Y;1.6;21;14;69;0.8;131;24;4;56;152
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;2;Y;1.45;14.5;8.5;79;0.7;101;13;4;0;118.5
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;3;Y;1.2;8;16;101;1.05;118.5;19;4;0;126.5
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;4;Y;1.85;14;8;131;0.7;114.5;16.5;4;0;128.5
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;5;Y;0.8;14;6;81;0.65;129;9;4;0;143
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;6;Y;1.45;16;6;137;0.55;109;11;4;0;125
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;7;Y;1.4;19;12;81.5;1.8;157;21.5;4;0;176
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;8;Y;2.1;22;14;120;1.25;163;19;4;0;185
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;9;Y;1.85;27;12;114;1.2;131;23;5;0;158
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;10;Y;2.1;26;12;131;1.1;149;22;4;0;175
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;11;Y;0.9;16.5;11;109;0.7;114;18;4;0;130.5
JS;2018/11/20;South Africa;Shallow;Betty's Bay;1.0;12;Y;1.5;18;7;130;0.6;118;15.5;4;0;136
JS;2019/11/20;South Africa;Shallow;Betty's Bay;1.0;13;Y;1.35;24;14;113.5;1.0;130;18;3;0;154
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;1;N;1.1;13;16;95;0.5;84;15;5;0;179
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;2;N;0.85;17;6;86;0.3;68;8;4;0;154
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;3;N;1.25;23;5;125;0.6;120;10;6;0;245
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;4;Y;1.25;16;11;92;0.7;92;19;4;0;184
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;5;N;2.4;18;7;156;0.55;120;13;5;0;276
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;6;N;1.26;22;5;123;0.25;75;10;6;0;198
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;7;Y;0.7;25;5;136;0.5;146;9;7;0;282
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;8;Y;1.3;21;5;115;0.4;95;10;6;0;210
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;9;N;1.4;18;6;96;0.4;72;11;5;0;168
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;10;N;2.35;16;11;107;0.5;77;14;4;0;184
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;11;N;0.9;25;5;150;0.25;78;10;7;0;228
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;12;N;0.6;23;5;86;0.25;59;10;7;0;145
JS;2018/05/04;South Africa;Shallow;Bakoven;1.0;13;N;0.35;19;5;73;0.2;58;8;5;0;131
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;1;Y;4;18;89;103;0.7;80;17;5;55;183
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;2;Y;3.43;16;8;131;0.7;103;15;4;0;234
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;3;N;2.1;14;8;141;0.55;76;16;5;21;217
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;4;Y;2.8;16;6;158;0.6;123;14;4;139;281
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;5;Y;3.25;19;7;119;0.55;67;17;6;11;186
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;6;N;1.35;16;5;115;0.45;106;11;4;20;221
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;7;N;3.4;22;7;155;0.65;84;17;4;84;239
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;8;Y;1.35;16;6;134;0.4;73;12;4;73;207
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;9;Y;4.05;31;9;188;0.9;100;17;7;45;288
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;10;Y;3.9;18;7;152;0.9;177;17;4;57;329
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;11;N;1.95;18;4;98;0.35;103;9;4;20;201
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;12;Y;4.25;21;8;187;0.7;87;16;5;87;274
JS;2018/10/04;South Africa;Shallow;Yzerfontein;1.0;13;Y;1.5;18;5;111;0.4;97;11;5;30;208
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;1;Y;0.85;6;4;127;0.6;126;15;3;126;303
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;2;Y;1.7;13;10;120;0.85;117;17;3;117;237
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;3;Y;1.95;15;10;177;0.95;131;22;2;131;308
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;4;Y;1.4;16;8;115;0.75;130;14;3;130;245
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;5;Y;2.3;22;11;148;1;127;22;2;127;275
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;6;Y;1.7;18;11;107;0.7;122;17;3;122;229
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;7;Y;3.25;21;25;129;1.2;144;22;3;144;273
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;8;Y;1.2;11;5;115;0.3;73;7;2;0;188
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;9;Y;1.6;19;12;146;0.95;135;16;3;135;281
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;10;Y;0.95;12;10;189;0.8;144;18;3;144;333
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;11;Y;1.85;15;9;155;0.6;110;17;4;110;265
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;12;Y;2;17;14;98;0.75;112;19;4;112;210
JS;2018/05/04;South Africa;Shallow;Miller`s_B;1.0;13;Y;1.7;11;10;118;0.6;80;17;3;0;198
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;1;Y;1.4;22;12;140;0.8;118;16;3;118;258
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;2;Y;3.4;15;12;150;1.3;181;21;3;181;331
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;3;Y;2.25;14;12;154;1;117;24;2;117;271
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;4;Y;1.35;14;12;127;0.75;105;16;2;105;232
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;5;Y;3.05;10;9;150;1.2;131;16;3;131;281
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;6;Y;2;12;9;155;0.95;150;19;3;150;305
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;7;Y;1;15;8;112;0.8;141;14;4;141;253
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;8;Y;2.05;15;7;110;1;166;15;3;166;276
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;9;Y;1;14;11;83;0.65;118;13;3;118;201
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;10;Y;1.05;24;18;113;1;134;14;4;134;247
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;11;Y;1.9;18;8;130;0.9;100;14;4;100;230
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;12;Y;1.4;14;7;122;1.1;138;16;2;138;260
JS;2018/05/04;South Africa;Shallow;Miller`s_C;1.0;13;Y;1.45;18;10;108;1.25;130;18;3;130;238
